peak_id,peak_name,peak_alternative_name,height_metres,lat,long
CHMN,Chamar North,Peak 23,7165,28.5553,84.9469
ROLM,Rolmi,NA,6056,28.5678,85.0503
FANG,Fang,"Varaha Shikhar, Varaha Chuli, Finger",7647,28.5781,83.8033
PAMA,Pama Himal,NA,6300,28.5803,84.9511
TOBS,Tobsar,Tabsar,6065,28.5806,85.0594
MANN,Manaslu North,Manaslu II,6994,28.5835,84.5493
THAR,Tharpu Chuli,Tent Peak,5695,28.5847,83.9306
ANN3,Annapurna III,NA,7555,28.5856,83.9894
SING,Singu Chuli,Fluted Peak,6501,28.5872,83.885
ANN1,Annapurna I,NA,8091,28.5957,83.8267
ANNM,Annapurna I Middle,NA,8051,28.6,83.8333
GANW,Gangapurna West,"Lachenal Peak, Asapurna",7140,28.6011,83.9439
GANG,Gangapurna,NA,7455,28.6049,83.9631
TARS,Tarke Kang Shar,Tare Kang,7069,28.605,83.9144
GLAC,Glacier Dome,"Tarke Kang, Tarke Khang",7168,28.6067,83.8895
ROCN,Roc Noir,"Khangsar Kang, Khang Sar Khang",7485,28.6109,83.8636
ANNE,Annapurna I East,NA,8026,28.6128,83.8369
SAUL,Saula,NA,6235,28.6139,84.7561
PAN2,Panpoche 2,Pang Phunch 2,6504,28.6142,84.6875
PKAR,Pankar Himal,NA,6264,28.6164,84.7425
LARK,Larkya Peak,"Granite Peak, Naike Peak",6416,28.6269,84.545
PAN1,Panpoche 1,"Pang Phunch 1, Kutang Himal",6620,28.6289,84.6839
SAMD,Samdo,NA,6335,28.6361,84.6972
MANP,Manapathi,NA,6380,28.6456,83.4589
PISA,Pisang,Jong Ri,6091,28.6461,84.1883
NILS,Nilgiri South,NA,6839,28.6537,83.7292
KGUR,Kang Guru,Naurgaon,6981,28.6575,84.3014
PUCH,Punchen Himal,Puchen Himal,6049,28.6608,85.1483
GHUS,Ghustang South,"Gurja West, Paschim Himal",6465,28.6722,83.2461
GURJ,Gurja Himal,NA,7193,28.6739,83.2778
NILC,Nilgiri Central,NA,6940,28.6783,83.7357
GHUN,Ghustang North,NA,6529,28.6806,83.2472
TILI,Tilicho,Tilitso,7134,28.6844,83.8044
NILN,Nilgiri North,NA,7061,28.689,83.7439
DHA1,Dhaulagiri I,NA,8167,28.6967,83.495
DHA6,Dhaulagiri VI,NA,7268,28.7084,83.2738
TILJ,Tilje,NA,6530,28.7103,84.3953
GAMA,Gama Peak,NA,7187,28.7168,83.2768
NPHU,Narphu,NA,5921,28.7169,84.1239
PANB,Panbari,NA,6905,28.7183,84.4839
SWEL,Swelokhan,NA,6180,28.725,84.6464
CHRW,Churen Himal West,NA,7371,28.732,83.21
GYAJ,Gyajikang,Gyaji Khang,7074,28.7331,84.3742
DHA5,Dhaulagiri V,NA,7618,28.7337,83.3606
PHUG,Phu Kang Go,"Phu Khang Go, Athahra Saya Khola Himal",6767,28.7347,84.4939
NEMJ,Nemjung,NA,7140,28.735,84.4167
CHUR,Churen Himal Central,NA,7385,28.7352,83.2182
DHA4,Dhaulagiri IV,NA,7661,28.7359,83.314
CHUL,Chulu Central,Chulu East,6584,28.736,84.0348
CHRE,Churen Himal East,NA,7371,28.7427,83.2286
CHUW,Chulu West,NA,6419,28.7437,84.0231
TUKU,Tukuche,NA,6920,28.7464,83.5586
PERH,Peri Himal,NA,6296,28.7472,84.4817
PUTH,Putha Hiunchuli,Dhaulagiri VII,7246,28.7472,83.1486
SAIP,Saipal,NA,7030,28.7472,83.1486
CHUB,Chhuboche,NA,5606,28.7517,84.2183
GYLA,Gyala,NA,6363,28.7519,84.5589
DHA3,Dhaulagiri III,"Nalu, Naula",7715,28.754,83.3777
HIMJ,Himjung,Nemjung Goth,7092,28.7568,84.418
